,Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL,year,month,day
0,Kia Sportage 2024,2800000.0,Dark grey,300.0,Kia,Sportage,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6258710,2024,2,16
2,Fiat Tipo 2021,1200000.0,Petroleum,131000.0,Fiat,Tipo,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6286701,2024,2,16
3,Hyundai Tucson Turbo GDI 2021,2050000.0,Black,125000.0,Hyundai,Tucson Turbo GDI,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6286695,2024,2,16
4,BMW X1 2018,2050000.0,Gray,84000.0,BMW,X1,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/x1/6254123,2024,2,16
5,Chevrolet Optra 2021,700000.0,Blue,75000.0,Chevrolet,Optra,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286679,2024,2,16
6,Chery Arrizo 5 2021,700000.0,Silver,25000.0,Chery,Arrizo 5,Obour City,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6286673,2024,2,16
7,Kia Sportage 2022,1950000.0,Blue,33000.0,Kia,Sportage,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6262769,2024,2,16
8,Hyundai Verna 2014,400000.0,Black,238000.0,Hyundai,Verna,Faiyum,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286602,2024,2,16
9,Ford Focus 2018,870000.0,Brown,99000.0,Ford,Focus,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/focus/6286581,2024,2,16
10,Nissan Tiida 2011,575000.0,Silver,262000.0,Nissan,Tiida,Maadi,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/tiida/6286779,2024,2,16
11,Mitsubishi Lancer Puma 2014,640000.0,Silver,180000.0,Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286767,2024,2,16
12,Opel Grandland 2022,1900000.0,Black,98000.0,Opel,Grandland,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6280913,2024,2,16
13,Nissan Sunny 2022,830000.0,Red,67000.0,Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6283629,2024,2,16
14,Fiat Uno 2001,150000.0,White,180000.0,Fiat,Uno,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/uno/6286515,2024,2,16
15,Kia Spectra 2002,325000.0,Gray,253000.0,Kia,Spectra,Al Shorouk,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/spectra/6286758,2024,2,16
16,Toyota Corolla 2008,650000.0,Black,199000.0,Toyota,Corolla,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286755,2024,2,16
17,Jac J3 2021,900000.0,White,240000.0,Jac,J3,6 October,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jac/j3/6286737,2024,2,16
19,MG 5 2022,1170000.0,Black,48000.0,MG,5,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712,2024,2,16
20,Hyundai Verna 2010,285000.0,White,175000.0,Hyundai,Verna,Alexandria,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706,2024,2,16
22,Toyota Corolla 2021,1500000.0,Black,82500.0,Toyota,Corolla,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740,2024,2,16
23,Nissan Sunny 2022,650000.0,White,150000.0,Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692,2024,2,16
24,Chevrolet Optra 2022,90000.0,Red,85000.0,Chevrolet,Optra,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685,2024,2,16
25,Skoda Octavia A4 2003,430000.0,Black,200000.0,Skoda,Octavia A4,Alexandria,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731,2024,2,16
26,Daewoo Nubira 2 2004,280000.0,Dark blue,198000.0,Daewoo,Nubira 2,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6274769,2024,2,16
28,Kia Sephia 2000,240000.0,Silver,250000.0,Kia,Sephia,Tagamo3 - New Cairo,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6286683,2024,2,16
29,Changan Benni 2016,300000.0,Red,37000.0,Changan,Benni,Helwan,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/changan/benni/6286668,2024,2,16
